transaction_id,user_id,timestamp,amount,merchant_category,location,device_id,transaction_type,avg_user_amount,transaction_frequency,time_since_last_txn,is_foreign_transaction,is_high_risk_merchant,fraud_label
T25,U1581,2026-03-18 11:33:37.165803,762,jewelry,Canada,D34,debit,1344,4,45,1,1,1
T26,U1043,2026-03-22 05:42:37.165813,894,subscriptions,India,D25,credit,773,14,103,0,0,0
T27,U1773,2026-03-10 13:44:37.165823,1827,food,India,D5,debit,1957,2,68,1,0,1
T28,U1918,2026-03-17 22:32:37.165833,2950,groceries,Germany,D42,credit,1486,1,103,1,0,0
T29,U1937,2026-03-21 02:30:37.165841,1177,groceries,India,D37,credit,776,11,114,0,0,0
T30,U1554,2026-03-14 11:28:37.165855,1356,travel,Canada,D18,credit,723,17,84,0,0,0
T31,U1282,2026-03-08 13:09:37.165866,174,electronics,USA,D25,debit,266,8,23,0,1,0
T32,U1448,2026-03-06 11:00:37.165877,1453,electronics,Canada,D11,credit,1825,1,99,0,1,0
T33,U1733,2026-03-28 03:36:37.165887,887,subscriptions,Germany,D40,debit,972,19,97,0,0,0
T34,U1926,2026-03-27 19:12:37.165897,1867,jewelry,Germany,D36,debit,785,17,75,0,1,0
T35,U1263,2026-04-03 03:12:37.165921,2880,groceries,UK,D26,credit,1778,6,90,1,0,1
T36,U1812,2026-03-13 12:47:37.165933,2036,subscriptions,Canada,D31,debit,1369,1,5,0,0,0
T37,U1068,2026-03-02 19:52:37.165942,406,jewelry,UAE,D21,debit,572,6,89,1,1,1
T38,U1533,2026-03-20 10:26:37.165952,1544,jewelry,India,D31,credit,598,5,51,1,1,0
T39,U1248,2026-03-08 16:14:37.165962,564,luxury,UK,D37,debit,407,7,39,1,1,0
T40,U1416,2026-03-29 17:01:37.165986,2713,subscriptions,UAE,D28,credit,1860,8,45,1,0,1
T41,U1279,2026-03-23 05:15:37.166003,479,jewelry,Canada,D37,debit,734,13,68,1,1,0
T42,U1430,2026-03-28 10:20:37.166014,190,jewelry,Germany,D35,credit,197,13,99,0,1,0
T43,U1487,2026-03-10 08:14:37.166023,624,subscriptions,UAE,D28,debit,634,18,85,1,0,0
T44,U1120,2026-03-23 02:07:37.166033,981,groceries,India,D22,credit,1562,5,105,1,0,1
T45,U1286,2026-03-05 19:48:37.166042,2378,groceries,India,D39,debit,1216,20,105,1,0,0
T46,U1987,2026-03-02 18:28:37.166053,89,travel,USA,D18,credit,478,8,67,0,0,0
T47,U1700,2026-03-19 01:56:37.166062,651,electronics,UAE,D6,credit,626,6,18,0,1,0
T48,U1834,2026-03-13 14:35:37.166071,464,luxury,UAE,D21,credit,420,19,102,0,1,0
T49,U1001,2026-03-19 16:58:37.166080,165,jewelry,Canada,D40,debit,1920,11,114,1,1,0
T50,U1649,2026-03-20 04:19:37.166093,383,travel,UK,D25,credit,369,8,68,0,0,0
T51,U1806,2026-03-29 21:46:37.166103,1836,food,UK,D12,debit,1508,12,96,1,0,0
T52,U1298,2026-03-10 00:36:37.166113,306,groceries,India,D1,debit,1066,13,43,0,0,0
T53,U1250,2026-03-22 01:12:37.166123,1991,luxury,USA,D21,credit,1456,7,49,0,1,0
T54,U1249,2026-03-03 01:35:37.166133,86,groceries,UK,D48,credit,760,17,98,0,0,0
T55,U1535,2026-03-27 12:47:37.166142,2093,groceries,UK,D43,credit,1487,10,54,1,0,0
T56,U1410,2026-04-01 08:31:37.166151,2223,luxury,UAE,D2,debit,779,13,10,1,1,0
T57,U1938,2026-03-25 12:54:37.166162,2441,electronics,UAE,D29,debit,1487,2,44,0,1,0
T58,U1380,2026-03-12 10:13:37.166172,891,subscriptions,Canada,D42,debit,1212,8,93,0,0,0
T59,U1418,2026-03-20 07:37:37.166180,2092,electronics,UAE,D39,debit,1670,5,47,0,1,0
T60,U1005,2026-03-03 07:35:37.166191,5514,travel,Canada,D13,credit,1870,18,7,0,0,0
T61,U1134,2026-03-08 03:03:37.166200,153,groceries,USA,D23,debit,539,6,19,1,0,0
T62,U1838,2026-03-26 03:30:37.166210,190,food,UAE,D35,credit,155,2,78,0,0,0
T63,U1793,2026-03-17 01:49:37.166219,945,food,UK,D48,credit,1955,8,111,1,0,1
T64,U1132,2026-03-30 19:18:37.166228,452,electronics,Germany,D34,debit,308,10,56,1,1,1
T65,U1959,2026-03-22 04:17:37.166238,780,electronics,UK,D8,debit,884,6,64,1,1,0
T66,U1667,2026-03-22 22:50:37.166247,132,groceries,UK,D8,debit,331,14,47,1,0,0
T67,U1991,2026-03-05 00:05:37.166257,82,luxury,India,D6,credit,903,6,33,1,1,1
T68,U1729,2026-03-10 11:19:37.166274,245,subscriptions,USA,D18,debit,934,11,71,0,0,0
T69,U1870,2026-04-01 16:21:37.166292,88,food,Germany,D25,credit,701,10,31,1,0,1
T70,U1250,2026-04-03 16:58:37.166311,650,electronics,UK,D10,credit,1049,13,36,1,1,1
T71,U1011,2026-03-02 16:08:37.166329,2739,electronics,Germany,D25,debit,1943,2,14,1,1,1
T72,U1761,2026-04-01 04:49:37.166340,1322,subscriptions,UK,D25,debit,1200,7,68,0,0,0
T73,U1959,2026-03-29 04:22:37.166349,1431,jewelry,Canada,D26,credit,1280,2,65,1,1,0
T74,U1478,2026-03-14 14:53:37.166358,295,luxury,India,D33,debit,1145,5,35,1,1,0
T75,U1533,2026-03-11 22:35:37.166368,284,luxury,Germany,D8,debit,1658,7,61,0,1,0
T76,U1439,2026-03-08 19:46:37.166377,270,jewelry,UAE,D31,debit,786,18,106,1,1,0
T77,U1899,2026-03-10 22:17:37.166387,2434,travel,UK,D22,debit,1638,12,43,0,0,0
T78,U1761,2026-03-23 11:59:37.166396,523,electronics,UAE,D46,debit,1547,12,75,0,1,0
T79,U1737,2026-03-02 12:08:37.166405,3536,groceries,Germany,D49,debit,1184,9,102,1,0,0
T80,U1355,2026-03-08 05:26:37.166415,90,food,Germany,D39,credit,229,17,111,0,0,0
T81,U1647,2026-03-14 13:57:37.166454,2796,subscriptions,India,D2,credit,1727,18,114,1,0,1
T82,U1729,2026-03-30 20:15:37.166485,810,luxury,USA,D29,credit,346,5,59,1,1,0
T83,U1711,2026-03-24 17:39:37.166496,64,food,Canada,D11,credit,103,9,92,1,0,0
T84,U1614,2026-03-30 10:34:37.166506,593,travel,India,D4,credit,1612,17,33,1,0,0
T85,U1562,2026-04-04 12:14:37.166562,326,food,UK,D10,credit,367,18,22,0,0,0
T86,U1920,2026-03-18 21:38:37.166588,731,travel,Germany,D2,credit,1030,5,65,0,0,0
T87,U1073,2026-03-31 13:30:37.166609,93,jewelry,India,D11,debit,599,4,117,1,1,1
T88,U1365,2026-03-05 09:36:37.166620,10,luxury,UAE,D12,debit,1061,11,120,1,1,0
T89,U1126,2026-03-19 06:54:37.166629,106,groceries,UK,D12,credit,1968,11,56,1,0,1
T90,U1216,2026-03-04 11:29:37.166638,88,groceries,USA,D38,credit,1426,6,46,1,0,0
T91,U1947,2026-03-28 15:29:37.166648,270,food,USA,D47,credit,402,15,69,0,0,0
T92,U1252,2026-03-11 18:39:37.166657,601,luxury,UAE,D14,credit,299,19,86,1,1,0
T93,U1731,2026-03-11 02:50:37.166668,1147,travel,Canada,D24,debit,1228,8,27,1,0,0
T94,U1498,2026-03-26 07:17:37.166677,4592,electronics,India,D31,credit,1884,5,57,0,1,0
T95,U1851,2026-03-29 05:46:37.166686,1529,groceries,UK,D32,debit,1459,9,8,1,0,0
T96,U1182,2026-03-04 17:04:37.166696,244,subscriptions,Germany,D5,debit,558,14,107,1,0,1
T97,U1035,2026-03-12 07:38:37.166705,707,food,Germany,D38,credit,828,15,96,0,0,0
T98,U1172,2026-03-28 02:37:37.166714,1720,food,Canada,D19,debit,1381,18,61,1,0,0
T99,U1768,2026-03-28 10:28:37.166722,631,luxury,Germany,D50,credit,1505,19,3,0,1,0
T100,U1051,2026-03-13 01:58:37.166735,1515,groceries,Germany,D32,debit,905,15,106,0,0,0
T101,U1686,2026-04-04 13:53:37.166746,128,electronics,UAE,D36,credit,1421,19,23,1,1,0
T102,U1840,2026-04-02 20:06:37.166756,179,electronics,Germany,D31,debit,171,6,110,0,1,0
T103,U1565,2026-03-07 16:06:37.166765,806,electronics,Germany,D30,credit,499,1,112,0,1,0
T104,U1119,2026-03-10 16:22:37.166775,840,jewelry,UAE,D11,debit,1319,16,40,1,1,1
T105,U1822,2026-03-24 14:58:37.166784,395,subscriptions,India,D30,debit,1424,12,50,0,0,0
T106,U1463,2026-03-22 12:38:37.166794,543,jewelry,Germany,D18,credit,552,10,42,1,1,1
T107,U1202,2026-03-04 01:38:37.166806,14,subscriptions,Canada,D20,debit,1121,18,48,0,0,0
T108,U1862,2026-03-06 08:29:37.166816,1237,subscriptions,USA,D11,credit,1736,15,76,0,0,0
T109,U1287,2026-03-30 12:27:37.166848,2055,groceries,India,D48,credit,1469,14,92,1,0,0
T110,U1201,2026-03-04 12:26:37.166861,1056,subscriptions,India,D29,credit,746,8,20,0,0,1
T111,U1274,2026-03-29 01:16:37.166870,976,electronics,USA,D27,debit,1428,15,37,0,1,0
T112,U1225,2026-03-07 14:00:37.166880,2024,subscriptions,Germany,D48,debit,1036,11,60,0,0,0
T113,U1011,2026-03-02 00:56:37.166889,234,groceries,Canada,D11,debit,498,10,14,1,0,0
T114,U1504,2026-03-07 03:41:37.166899,516,jewelry,Canada,D5,credit,507,10,113,0,1,0
T115,U1241,2026-03-14 22:28:37.166910,2626,jewelry,USA,D50,debit,1200,14,63,0,1,0
T116,U1629,2026-03-30 23:49:37.166920,783,food,India,D42,debit,1201,6,102,1,0,0
T117,U1556,2026-03-20 19:02:37.166929,1093,travel,USA,D32,debit,695,8,10,0,0,0
T118,U1670,2026-03-30 16:15:37.166939,2280,food,UK,D30,debit,1996,6,94,1,0,0
T119,U1207,2026-03-29 01:12:37.166948,1514,food,Canada,D11,debit,845,11,59,0,0,0
T120,U1371,2026-03-14 00:31:37.166959,769,travel,Germany,D43,debit,615,10,34,0,0,0
T121,U1619,2026-03-20 11:12:37.166969,2429,luxury,India,D14,credit,1700,11,57,0,1,0
T122,U1907,2026-03-21 09:03:37.166979,547,food,India,D20,debit,1836,15,73,0,0,0
T123,U1825,2026-04-04 10:50:37.166988,366,subscriptions,USA,D13,debit,1890,7,70,0,0,0
T124,U1814,2026-03-28 04:36:37.166997,2318,jewelry,India,D20,debit,1899,3,107,0,1,0
T125,U1718,2026-03-07 01:45:37.167007,203,luxury,Canada,D23,credit,1309,5,17,1,1,0
T126,U1188,2026-03-28 18:28:37.167017,323,luxury,Canada,D25,debit,259,7,116,1,1,0
T127,U1642,2026-03-10 04:02:37.167027,15,subscriptions,USA,D5,debit,239,11,8,0,0,0
T128,U1037,2026-03-17 04:11:37.167036,300,luxury,India,D49,credit,487,20,12,0,1,0
T129,U1512,2026-03-04 12:03:37.167047,966,food,UK,D18,debit,878,10,22,0,0,0
T130,U1263,2026-03-15 16:33:37.167056,519,travel,Germany,D31,debit,362,18,108,1,0,0
T131,U1505,2026-03-26 11:58:37.167065,653,subscriptions,UAE,D38,credit,840,7,97,1,0,0
T132,U1991,2026-03-31 13:42:37.167075,496,jewelry,Germany,D29,credit,383,7,61,0,1,0
T133,U1270,2026-03-19 16:26:37.167084,1152,electronics,India,D43,credit,474,16,31,0,1,0
T134,U1420,2026-03-03 23:46:37.167094,181,food,Germany,D24,credit,214,4,90,1,0,0
T135,U1638,2026-03-22 11:01:37.167104,2882,jewelry,UAE,D20,credit,1661,14,89,0,1,0
T136,U1429,2026-04-01 10:41:37.167114,733,luxury,India,D24,debit,1409,2,27,0,1,0
T137,U1106,2026-03-17 02:03:37.167122,746,travel,USA,D5,debit,744,9,30,0,0,0
T138,U1989,2026-03-15 05:41:37.167132,175,groceries,Canada,D5,credit,227,15,42,0,0,0
T139,U1030,2026-03-11 00:00:37.167141,1125,electronics,USA,D27,debit,1249,10,33,1,1,0
T140,U1458,2026-03-10 08:11:37.167150,111,subscriptions,UAE,D48,debit,109,12,23,1,0,1
T141,U1166,2026-03-31 21:29:37.167159,1104,groceries,UK,D13,debit,1529,8,26,0,0,0
T142,U1380,2026-03-12 04:51:37.167169,657,subscriptions,USA,D9,credit,402,3,58,0,0,0
T143,U1643,2026-04-03 05:27:37.167178,1786,travel,USA,D2,credit,1850,19,18,0,0,0
T144,U1407,2026-03-25 18:30:37.167188,479,electronics,UK,D36,debit,570,5,54,1,1,0
T145,U1662,2026-03-22 12:59:37.167197,2954,travel,India,D31,debit,1887,18,109,1,0,0
T146,U1913,2026-04-04 01:18:37.167206,114,travel,Canada,D26,debit,542,18,40,0,0,0
T147,U1769,2026-04-03 22:16:37.167215,501,jewelry,USA,D40,credit,837,17,73,0,1,0
T148,U1032,2026-03-10 11:17:37.167224,931,jewelry,USA,D47,credit,1766,11,111,0,1,0
T149,U1523,2026-04-01 22:18:37.167234,1800,subscriptions,UK,D2,debit,919,7,16,0,0,0
T150,U1818,2026-03-03 13:24:37.167245,493,luxury,India,D14,credit,436,13,54,0,1,0
T151,U1119,2026-03-15 06:30:37.167254,2866,food,Canada,D25,debit,1342,18,109,0,0,0
T152,U1507,2026-03-24 09:01:37.167263,522,food,Germany,D33,debit,1127,1,39,1,0,1
T153,U1419,2026-03-19 20:28:37.167273,1138,jewelry,India,D36,credit,1491,12,63,1,1,0
T154,U1734,2026-03-11 21:53:37.167282,517,electronics,Germany,D14,credit,1286,14,19,0,1,0
T155,U1218,2026-04-03 06:10:37.167291,335,luxury,USA,D6,credit,532,6,66,0,1,0
T156,U1675,2026-03-07 21:41:37.167300,245,subscriptions,Germany,D10,debit,605,4,40,1,0,0
T157,U1739,2026-03-24 17:20:37.167310,4014,food,Canada,D26,credit,1967,14,22,0,0,0
T158,U1277,2026-03-17 03:13:37.167320,12,groceries,Germany,D15,debit,187,6,26,0,0,0
T159,U1346,2026-03-21 11:14:37.167329,774,subscriptions,Canada,D6,debit,1021,6,101,0,0,0
T160,U1658,2026-03-21 07:37:37.167338,4177,luxury,UAE,D16,credit,1804,13,16,0,1,0
T161,U1135,2026-03-21 07:04:37.167366,2120,jewelry,Germany,D18,credit,808,8,60,0,1,0
T162,U1331,2026-03-08 17:54:37.167387,1064,electronics,UAE,D48,credit,740,4,96,0,1,0
T163,U1185,2026-03-16 19:26:37.167405,108,subscriptions,India,D20,debit,239,8,53,1,0,0
T164,U1467,2026-03-27 02:01:37.167425,309,electronics,India,D18,credit,1362,18,33,0,1,1
T165,U1752,2026-03-05 16:24:37.167435,709,luxury,UAE,D12,debit,847,5,103,0,1,0
T166,U1995,2026-03-11 05:48:37.167445,1140,travel,Germany,D27,credit,1357,15,94,0,0,0
T167,U1561,2026-03-15 21:44:37.167453,870,luxury,USA,D3,credit,698,13,62,0,1,0
T168,U1885,2026-03-30 23:36:37.167462,40,groceries,UAE,D42,debit,110,1,6,0,0,0
T169,U1137,2026-03-19 23:19:37.167471,1385,luxury,India,D35,credit,1849,10,105,0,1,0
T170,U1008,2026-03-09 13:29:37.167489,905,travel,USA,D25,credit,470,10,67,0,0,0
T171,U1449,2026-03-10 12:44:37.167508,1210,jewelry,India,D50,credit,1197,14,9,0,1,0
T172,U1126,2026-03-17 06:56:37.167528,560,electronics,Germany,D37,debit,368,2,93,1,1,0
T173,U1126,2026-03-05 20:11:37.167554,195,jewelry,UAE,D30,debit,220,14,119,0,1,0
T174,U1091,2026-03-15 02:53:37.167565,501,groceries,UAE,D21,credit,1049,9,72,0,0,0
T175,U1558,2026-03-07 03:22:37.167577,480,food,USA,D38,debit,292,18,114,0,0,0
T176,U1525,2026-03-26 14:07:37.167587,610,travel,UK,D6,debit,762,5,60,0,0,0
T177,U1385,2026-03-13 04:28:37.167606,1254,electronics,Germany,D49,debit,727,17,99,1,1,1
T178,U1641,2026-03-10 05:49:37.167632,836,subscriptions,Germany,D3,credit,925,19,68,1,0,0
T179,U1246,2026-03-05 21:42:37.167655,684,electronics,India,D27,credit,732,17,109,0,1,0
T180,U1956,2026-03-19 15:00:37.167676,435,food,Canada,D6,debit,767,20,42,1,0,1
T181,U1727,2026-03-21 20:46:37.167686,2836,luxury,Germany,D33,debit,1425,10,109,1,1,1
T182,U1818,2026-03-30 16:27:37.167697,972,food,UK,D35,debit,1111,19,88,1,0,0
T183,U1257,2026-03-06 05:31:37.167707,365,jewelry,USA,D38,credit,767,16,4,1,1,0
T184,U1966,2026-03-18 19:53:37.167725,952,jewelry,Canada,D44,credit,561,6,47,0,1,0
T185,U1443,2026-04-04 02:25:37.167743,310,food,UAE,D41,credit,1286,9,9,0,0,0
T186,U1646,2026-03-10 05:14:37.167761,252,luxury,Germany,D4,debit,257,3,117,0,1,0
T187,U1228,2026-03-13 13:53:37.167778,1140,groceries,USA,D5,debit,1749,15,9,1,0,0
T188,U1029,2026-03-03 08:18:37.167798,1956,food,USA,D34,credit,1430,14,45,0,0,0
T189,U1518,2026-03-01 01:42:37.167808,336,travel,USA,D14,debit,1717,8,12,0,0,0
T190,U1429,2026-03-14 12:22:37.167817,2876,luxury,USA,D37,debit,1779,11,7,0,1,0
T191,U1211,2026-03-15 00:10:37.167827,729,jewelry,Germany,D12,credit,468,14,42,1,1,0
T192,U1037,2026-03-04 21:43:37.167836,242,food,India,D6,debit,730,16,108,1,0,0
T193,U1222,2026-03-07 07:03:37.167850,1173,electronics,Germany,D25,debit,1935,6,73,1,1,0
T194,U1738,2026-04-03 04:34:37.167870,1850,food,UK,D7,debit,826,20,85,1,0,0
T195,U1747,2026-03-17 20:53:37.167888,607,luxury,India,D23,debit,903,20,112,0,1,0
T196,U1317,2026-03-22 08:06:37.167911,1312,electronics,USA,D7,debit,1231,7,48,0,1,0
T197,U1977,2026-03-21 21:44:37.167937,1316,groceries,Canada,D24,credit,1746,14,55,1,0,1
T198,U1493,2026-03-07 09:58:37.167948,815,subscriptions,UAE,D13,debit,845,20,31,1,0,0
T199,U1029,2026-03-27 18:14:37.167963,4037,groceries,Germany,D28,debit,1940,9,108,1,0,0
T200,U1766,2026-03-09 17:07:37.167982,983,travel,UK,D36,credit,1318,1,83,1,0,0
T201,U1454,2026-04-02 19:00:37.168006,444,luxury,Canada,D11,debit,623,16,102,1,1,0
T202,U1613,2026-04-02 15:56:37.168027,351,travel,Germany,D23,credit,611,19,65,0,0,1
T203,U1398,2026-03-23 03:29:37.168045,1658,jewelry,India,D13,debit,1528,5,51,0,1,0
T204,U1598,2026-03-12 15:45:37.168065,703,subscriptions,USA,D44,debit,1121,20,88,1,0,0
T205,U1140,2026-03-22 15:31:37.168083,4038,subscriptions,UAE,D30,credit,1945,1,111,0,0,1
T206,U1127,2026-03-21 03:13:37.168104,3300,groceries,UAE,D32,debit,1723,9,63,0,0,0
T207,U1359,2026-03-09 10:34:37.168123,10,travel,Canada,D19,debit,499,9,64,0,0,0
T208,U1077,2026-03-12 13:26:37.168144,1465,electronics,Canada,D14,credit,1012,13,41,1,1,0
T209,U1022,2026-03-24 15:21:37.168164,1234,subscriptions,USA,D45,credit,739,18,33,1,0,1
T210,U1647,2026-03-12 09:46:37.168184,329,travel,Canada,D26,credit,475,19,43,1,0,0
T211,U1666,2026-03-31 16:09:37.168204,1645,luxury,UK,D3,credit,1361,6,111,0,1,0
T212,U1375,2026-03-22 06:34:37.168225,373,electronics,UAE,D20,credit,374,9,114,0,1,0
T213,U1797,2026-03-13 00:34:37.168235,2382,food,Canada,D38,debit,1999,11,75,1,0,0
T214,U1654,2026-03-03 18:26:37.168245,356,luxury,UK,D24,credit,1229,6,19,1,1,1
T215,U1471,2026-03-22 00:21:37.168254,2651,food,USA,D13,credit,1784,17,37,0,0,0
T216,U1677,2026-03-14 11:34:37.168264,150,groceries,Canada,D44,debit,795,5,82,0,0,0
T217,U1680,2026-04-01 07:54:37.168273,1340,electronics,UK,D31,debit,665,7,61,0,1,0
T218,U1380,2026-03-02 13:42:37.168282,723,luxury,Canada,D40,credit,1365,2,104,1,1,0
T219,U1603,2026-03-25 09:47:37.168291,1452,subscriptions,India,D33,debit,828,7,37,0,0,0
T220,U1590,2026-03-14 22:31:37.168301,969,electronics,USA,D7,credit,1823,2,32,1,1,0
T221,U1575,2026-03-28 19:30:37.168310,3807,travel,USA,D34,debit,1298,13,80,1,0,0
T222,U1561,2026-03-22 19:38:37.168319,356,electronics,USA,D44,credit,1919,10,17,0,1,0
T223,U1252,2026-03-26 07:48:37.168328,680,food,India,D24,debit,995,4,101,0,0,0
T224,U1471,2026-03-18 14:59:37.168338,805,luxury,USA,D48,debit,1359,17,108,1,1,0
T225,U1784,2026-03-17 19:56:37.168373,152,luxury,USA,D47,credit,394,9,83,1,1,0
T226,U1277,2026-03-16 00:30:37.168386,376,subscriptions,UK,D42,credit,377,16,60,1,0,0
T227,U1260,2026-03-02 15:16:37.168395,2018,travel,Canada,D28,credit,1850,4,119,1,0,0
T228,U1614,2026-04-03 07:30:37.168405,1297,jewelry,USA,D11,credit,920,6,69,1,1,0
T229,U1456,2026-03-11 12:26:37.168414,1062,travel,Canada,D43,debit,1334,3,47,1,0,0
T230,U1430,2026-03-07 19:47:37.168424,1941,subscriptions,Canada,D31,debit,1886,20,52,1,0,1
T231,U1123,2026-03-24 12:32:37.168433,130,groceries,Germany,D18,debit,273,18,82,1,0,0
T232,U1834,2026-04-03 11:30:37.168456,97,travel,Germany,D35,debit,1985,15,28,1,0,1
T233,U1441,2026-03-26 13:12:37.168476,233,groceries,Canada,D19,debit,1059,9,12,0,0,0
T234,U1495,2026-03-28 22:02:37.168487,1643,food,UAE,D9,credit,858,11,26,1,0,1
T235,U1541,2026-03-08 09:19:37.168497,1338,subscriptions,Germany,D22,credit,805,13,100,0,0,0
T236,U1781,2026-03-06 22:08:37.168507,980,food,Germany,D46,debit,714,14,73,0,0,0
T237,U1034,2026-03-24 13:02:37.168516,89,groceries,UK,D30,debit,378,8,115,1,0,0
T238,U1740,2026-03-21 03:12:37.168526,509,luxury,USA,D44,credit,197,19,51,1,1,0
T239,U1636,2026-03-15 11:44:37.168536,1179,travel,UK,D43,debit,1743,1,14,1,0,0
T240,U1094,2026-03-29 04:57:37.168546,3736,subscriptions,USA,D26,credit,1116,2,94,0,0,1
T241,U1815,2026-03-21 13:44:37.168555,448,jewelry,UK,D5,debit,306,3,116,1,1,0
T242,U1139,2026-03-04 15:39:37.168571,296,luxury,UK,D21,credit,841,20,89,0,1,0
T243,U1761,2026-03-01 07:03:37.168599,753,travel,Canada,D44,credit,729,6,27,0,0,0
T244,U1620,2026-03-27 10:41:37.168611,714,food,India,D49,debit,381,2,23,0,0,0
T245,U1338,2026-04-03 13:50:37.168620,3783,groceries,Canada,D39,debit,1627,5,37,0,0,0
T246,U1828,2026-03-09 06:29:37.168630,1633,luxury,India,D34,credit,671,13,35,1,1,0
T247,U1117,2026-03-13 06:59:37.168642,555,luxury,Germany,D6,debit,1680,9,58,0,1,0
T248,U1010,2026-03-10 05:51:37.168652,469,subscriptions,India,D17,debit,1096,10,112,0,0,0
T249,U1382,2026-03-20 03:15:37.168670,1431,travel,India,D8,debit,1017,5,9,0,0,0
T250,U1335,2026-03-07 10:40:37.168698,1013,travel,Canada,D14,credit,1774,8,74,1,0,0
T251,U1381,2026-03-19 14:39:37.168717,116,food,UK,D8,credit,375,17,46,1,0,1
T252,U1468,2026-03-30 20:48:37.168729,467,subscriptions,UK,D14,debit,808,7,20,0,0,0
T253,U1839,2026-03-21 21:45:37.168738,1033,subscriptions,Canada,D1,credit,1488,14,68,1,0,1
T254,U1820,2026-03-09 23:49:37.168747,1886,luxury,Canada,D8,credit,1291,10,103,1,1,0
T255,U1877,2026-03-27 22:54:37.168756,1667,electronics,USA,D24,debit,1260,19,114,1,1,1
T256,U1711,2026-03-17 03:17:37.168766,170,travel,USA,D10,debit,314,8,24,0,0,1
T257,U1890,2026-03-26 18:30:37.168775,1931,subscriptions,USA,D36,debit,1840,16,41,1,0,0
T258,U1276,2026-03-25 01:19:37.168785,247,luxury,Germany,D46,credit,657,10,86,0,1,0
T259,U1909,2026-04-03 10:28:37.168807,2463,groceries,UAE,D28,debit,1129,7,46,0,0,0
T260,U1764,2026-03-31 10:49:37.168828,667,electronics,UK,D44,debit,1061,8,37,1,1,0
T261,U1311,2026-03-26 08:30:37.168847,1841,jewelry,India,D29,credit,1557,4,72,1,1,0
T262,U1338,2026-03-12 12:54:37.168866,1166,luxury,USA,D11,debit,1093,10,14,1,1,1
T263,U1066,2026-03-23 14:32:37.168883,851,travel,Germany,D27,credit,1479,5,50,0,0,0
T264,U1115,2026-04-04 06:08:37.168903,1472,electronics,USA,D23,credit,931,15,74,1,1,1
T265,U1771,2026-03-10 04:26:37.168921,1592,jewelry,USA,D21,credit,1483,10,44,1,1,1
T266,U1196,2026-03-25 13:29:37.168941,401,travel,India,D40,credit,654,7,58,0,0,0
T267,U1808,2026-03-08 20:18:37.168960,425,jewelry,Canada,D31,debit,421,17,50,0,1,0
T268,U1262,2026-03-01 07:52:37.168982,1306,luxury,Germany,D35,debit,993,4,89,1,1,0
